i,j,v
0xb4f17c28b4fee29231c37aa4b4fc4b42a02d6673,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,6.760969
0x394311a6aaa0d8e3411d8b62de4578d41322d1bd,0x02469e7afb9e193f40790c25811c5970050ebffe,11.490892
0x27a16dc786820b16e5c9028b75b99f6f604b5d26,0xe6db30da89e8c6492da3677fa9b5a7d59124995e,31.931361
0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,0x2341ebf96f6b6cd6d225717f5af90278737390fc,8.93293
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0x4e65fe4dba92790696d040ac24aa414708f5c0ab,17.557789
0x52aa899454998be5b000ad077a46bbe360f4e497,0xb2acd3caab07d899ddab548794b16747d4922ca4,31.053048
0x09b043840cd2f32687ec6b63fb0412585de39822,0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,42.530086
0x70bbc6db3037ed760b1fdc035cc63c24b0238614,0x3c5aac016ef2f178e8699d6208796a2d67557fe2,6.550205
0xb2acd3caab07d899ddab548794b16747d4922ca4,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,9.37841
0x394311a6aaa0d8e3411d8b62de4578d41322d1bd,0x3c5aac016ef2f178e8699d6208796a2d67557fe2,8.1809
0x52aa899454998be5b000ad077a46bbe360f4e497,0x2f75ffe98046e4a55fa79daf97b2730d7e707186,31.89051
0x1b11e4cdf56304d4d8a6e3645e219cfc30339e65,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,15.945255
0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,8.630322
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,11.712829
0xede67cb668d244b8d661f568ae233924f3dc4590,0x5dda2419c4f11fc60142fccba166ed067e7328eb,6.261186
0xfd6c61c946fa096e44f2464fb473f317c01e9a82,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,4.4374
0x1b11e4cdf56304d4d8a6e3645e219cfc30339e65,0x82f8a0f1d5cb6d463520da78147834b54a6bfeed,6.583055
0x3c5aac016ef2f178e8699d6208796a2d67557fe2,0x1f0eab022eb8d4fa69b085337cde0fdb3a1dbf00,3.227772
0xb13cf163d916917d9cd6e836905ca5f12a1def4b,0x3c5aac016ef2f178e8699d6208796a2d67557fe2,19.669292
0x1e7f002cdaca6f402a4ea11ddd8bab2a557ee7ba,0x3bb1abd5417672644ba27a78129a8283134106e5,7.517388
0x6b452ea7ec92dad4179773d1cd5a95cc6adfc28d,0x6b452ea7ec92dad4179773d1cd5a95cc6adfc28d,13.16611
0xeba53db3b53e2ae621faae3bed4e7fcd11877eac,0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,28.543387
0xf5042e6ffac5a625d4e7848e0b01373d8eb9e222,0x2f75ffe98046e4a55fa79daf97b2730d7e707186,18.088855
0x0ba30bdd7d3c510de16c47385102c0b7068f4f33,0xd508c555c8349ae273c1da1fad738e9b66950d4b,42.542717
0x2691f337abeb0146f16441ca4f82f363275851d5,0x3c5aac016ef2f178e8699d6208796a2d67557fe2,11.207063
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0x84f06fbacc4b64ca2f72a4b26191dad97f2b52ba,19.66034
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0xb4f17c28b4fee29231c37aa4b4fc4b42a02d6673,6.520502
0x52aa899454998be5b000ad077a46bbe360f4e497,0xfd6c61c946fa096e44f2464fb473f317c01e9a82,21.26034
0xf69f29a2af99eb5bd178b77283b6e5df974fa557,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,14.735592
0x52aa899454998be5b000ad077a46bbe360f4e497,0x79b6327487e1105e747656715b4cbbd38667eaee,21.26034
