i,v
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0769230769
0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,0.0769230769
0x0555e30da8f98308edb960aa94c0db47230d2b9c,0.0769230769
0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0.0769230769
0x4200000000000000000000000000000000000006,0.0769230769
0x111111125421ca6dc452d289314280a0f8842a65,0.0769230769
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0.0769230769
0xd0b53d9277642d899df5c87a3966a349a798f224,0.0769230769
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0.0769230769
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0.0769230769
0xdbc6998296caa1652a810dc8d3baf4a8294330f1,0.0769230769
0xb4cb800910b228ed3d0834cf79d697127bbb00e5,0.0769230769
0xb4885bc63399bf5518b994c1d0c153334ee579d0,0.0769230769
