i,v
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0714285714
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0.0714285714
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0.0714285714
0x39aa39c021dfbae8fac545936693ac917d5e7563,0.0714285714
0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0.0714285714
0xccf4429db6322d5c611ee964527d42e5d685dd6a,0.0714285714
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0.0714285714
0xc3d688b66703497daa19211eedff47f25384cdc3,0.0714285714
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,0.0714285714
0xc13e21b648a5ee794902342038ff3adab66be987,0.0714285714
0x52aa899454998be5b000ad077a46bbe360f4e497,0.0714285714
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0.0714285714
0xc56413869c6cdf96496f2b1ef801fedbdfa7ddb0,0.0714285714
0x028ec7330ff87667b6dfb0d94b954c820195336c,0.0714285714
